,RainTomorrow
33520,1
33521,1
33523,1
33524,1
33525,1
33526,1
33527,1
33528,1
33529,1
33530,1
33531,1
33532,1
33533,1
33534,0
33535,1
33536,1
33537,1
33538,1
33539,0
33540,1
33541,1
33542,1
33543,1
33544,1
33545,0
33546,1
33547,1
33548,1
33549,1
33550,1
33551,1
33552,1
33553,1
33554,1
33555,1
33556,1
33557,1
33558,1
33559,0
33560,0
33561,0
33563,0
33564,0
33565,0
33566,0
33567,0
33570,1
33571,0
33572,1
33573,1
33574,1
33575,1
33576,1
33577,1
33578,1
33579,1
33580,1
33581,1
33582,1
33584,1
33585,1
33586,1
33587,1
33588,1
33589,1
33591,1
33592,0
33593,1
33594,1
33595,1
33596,1
33598,1
33600,0
33601,1
33602,1
33603,0
33604,1
33605,1
33606,1
33608,0
33609,0
33610,0
33611,0
33612,0
33613,1
33614,1
33615,1
33616,1
33617,1
33618,1
33619,1
33620,1
33622,0
33625,1
33626,1
33627,0
33629,0
33630,0
33631,0
33632,1
33633,1
33635,1
33636,1
33637,1
33638,0
33639,0
33640,1
33641,0
33642,1
33643,0
33644,1
33645,1
33646,1
33647,1
33648,1
33649,0
33650,1
33651,1
33652,1
33653,1
33654,1
33655,1
33656,1
33657,0
33659,0
33660,1
33661,0
33662,1
33664,1
33665,1
33666,0
33667,0
33668,0
33669,0
33670,1
33671,0
33672,0
33673,0
33674,1
33675,1
33676,1
33677,1
33678,1
33679,1
33680,1
33681,1
33682,1
33683,1
33684,0
33685,1
33686,0
33687,0
33688,0
33689,1
33690,0
33691,0
33692,1
33693,1
33694,1
33695,1
33696,1
33697,1
33698,0
33699,1
33700,1
33701,1
33702,1
33703,1
33704,1
33705,1
33706,0
33707,0
33708,0
33709,0
33710,1
33711,1
33712,1
33714,1
33715,0
33716,0
33717,1
33718,1
33719,1
33720,1
33721,1
33722,0
33723,1
33724,1
33725,1
33726,0
33727,1
33728,1
33729,1
33730,1
33731,1
33732,1
33733,1
33735,1
33736,1
33737,1
33738,1
33739,1
33740,1
33741,1
33742,0
33743,1
33744,1
33745,1
33746,1
33747,1
33748,1
33749,1
33750,1
33751,1
33752,1
33753,1
33754,1
33755,0
33756,1
33757,1
33758,1
33759,1
33760,1
33761,1
33762,1
33763,1
33764,1
33765,0
33766,1
33767,1
33768,1
33769,0
33770,1
33771,1
33772,1
33773,1
33774,1
33775,1
33776,1
33777,1
33778,1
33779,1
33780,1
33781,1
33782,0
33783,1
33784,0
33785,1
33786,1
33787,1
33788,1
33789,1
33791,1
33792,1
33793,1
33794,0
33795,0
33796,0
33797,0
33798,0
33799,0
33800,1
33801,0
33802,0
33803,1
33804,1
33805,1
33806,1
33807,1
33808,1
33809,0
33810,1
33811,1
33812,1
33813,1
33814,1
33815,1
33816,1
33817,0
33818,1
33819,1
33820,1
33821,1
33822,1
33823,1
33824,1
33825,1
33826,0
33827,0
33828,0
33829,0
33830,1
33831,0
33832,1
33833,1
33834,1
33835,1
33836,1
33837,1
33838,1
33839,0
33840,1
33841,1
33842,1
33843,1
33844,1
33845,1
33846,0
33847,1
33848,1
33849,0
33850,1
33851,1
33852,1
33853,0
33854,0
33855,1
33856,1
33857,1
33858,1
33859,1
33860,1
33861,0
33862,1
33863,1
33864,1
33865,1
33866,1
33867,1
33868,1
33869,0
33870,0
33871,1
33872,1
33873,1
33874,1
33875,1
33876,1
33877,1
33878,0
33879,0
33880,0
33881,0
33882,1
33883,1
33884,1
33885,1
33886,0
33888,1
33889,1
33890,1
33891,1
33892,1
33893,1
33894,1
33895,1
33896,1
33897,0
33898,1
33899,1
33900,1
33901,1
33902,1
33903,1
33904,1
33905,1
33906,1
33907,0
33908,1
33909,1
33910,1
33914,0
33915,1
33916,1
33917,0
33918,0
33919,0
33920,0
33921,0
33922,0
33923,0
33924,1
33925,1
33926,1
33927,0
33928,0
33929,0
33930,1
33931,1
33932,1
33933,1
33934,1
33935,1
33936,1
33937,1
33938,1
33939,1
33940,1
33941,1
33942,1
33943,0
33944,0
33945,1
33946,1
33947,1
33948,0
33949,1
33950,1
33951,1
33952,1
33953,1
33954,1
33955,1
33956,0
33957,1
33958,1
33959,1
33960,1
33961,1
33962,1
33963,1
33964,1
33965,1
33966,1
33967,1
33968,1
33969,1
33970,1
33971,1
33972,0
33973,0
33974,1
33975,1
33976,1
33977,0
33978,0
33979,0
33980,0
33981,0
33982,0
33983,1
33984,1
33985,1
33986,1
33987,1
33988,1
33989,1
33990,0
33991,1
33992,1
33993,1
33994,1
33995,1
33996,1
33997,1
33998,0
33999,1
34000,1
34001,1
34002,1
34003,1
34004,0
34005,1
34006,1
34007,1
34008,1
34009,0
34010,1
34011,1
34012,1
34013,1
34014,1
34015,1
34016,1
34017,1
34018,1
34019,1
34020,0
34021,0
34022,0
34023,0
34024,1
34025,0
34026,0
34027,0
34028,1
34029,0
34030,0
34031,1
34032,0
34033,0
34034,0
34035,0
34036,1
34037,0
34038,0
34039,0
34040,1
34041,0
34042,0
34043,1
34044,1
34045,1
34046,1
34047,1
34048,1
34049,1
34050,1
34051,1
34052,1
34054,1
34055,0
34056,1
34057,0
34058,0
34059,1
34060,1
34061,1
34062,1
34063,1
34064,1
34065,1
34066,1
34067,1
34068,1
34069,1
34070,0
34071,0
34072,1
34073,0
34074,1
34075,1
34076,1
34077,1
34078,0
34079,1
34080,1
34081,1
34082,1
34083,1
34084,1
34085,0
34086,1
34087,1
34088,0
34089,1
34090,0
34091,0
34092,0
34093,0
34094,0
34095,0
34097,1
34098,0
34099,1
34100,1
34101,1
34103,1
34104,1
34105,0
34106,0
34107,1
34108,1
34109,1
34110,1
34111,1
34112,1
34113,1
34114,0
34115,1
34116,1
34117,1
34118,1
34119,1
34120,1
34121,1
34122,1
34123,1
34124,1
34125,1
34126,1
34127,1
34128,1
34129,1
34130,0
34131,1
34132,1
34133,1
34134,1
34135,1
34136,0
34137,1
34138,1
34139,1
34140,1
34141,0
34142,1
34143,1
34144,1
34145,1
34146,1
34147,1
34148,0
34149,1
34150,1
34151,1
34152,1
34153,1
34154,1
34155,1
34156,1
34157,1
34158,1
34159,0
34160,0
34161,0
34162,1
34163,1
34164,1
34165,1
34166,1
34167,1
34168,0
34169,1
34170,0
34171,1
34172,0
34173,1
34174,1
34175,0
34176,1
34177,1
34178,1
34179,1
34180,0
34181,0
34182,1
34183,1
34184,0
34185,1
34186,1
34187,1
34188,1
34189,0
34190,1
34191,0
34192,0
34193,0
34194,0
34195,1
34196,0
34197,1
34198,0
34199,1
34200,1
34201,1
34202,1
34203,0
34204,1
34205,1
34206,1
34207,1
34208,1
34209,1
34210,1
34211,1
34212,1
34213,1
34214,1
34215,1
34216,0
34217,0
34218,0
34219,0
34220,1
34221,1
34223,0
34224,1
34225,1
34226,1
34227,1
34228,1
34229,1
34230,1
34231,1
34232,1
34235,1
34236,1
34237,0
34238,1
34239,1
34240,1
34241,1
34242,1
34243,1
34244,0
34245,0
34246,1
34247,1
34248,1
34249,1
34250,1
34251,0
34252,0
34253,1
34254,1
34255,0
34256,0
34257,0
34258,0
34259,0
34260,0
34261,1
34262,1
34263,1
34264,1
34265,1
34266,1
